candidate_id,opcode,opcode_name,funct3,funct7,rs1,rs2,variable_rd,words_checked,active_decoder_family_overlap_count,selected_generator_family_overlap_count,all_source_generator_family_overlap_count,active_decoder_all_32_rd_safe,selected_generator_all_32_rd_safe,all_source_all_32_rd_safe,status,pattern
,0x5b,custom-2,1,47,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01011110000000000001?????1011011
,0x5b,custom-2,1,48,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01100000000000000001?????1011011
,0x5b,custom-2,1,49,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01100010000000000001?????1011011
,0x5b,custom-2,1,50,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01100100000000000001?????1011011
,0x5b,custom-2,1,51,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01100110000000000001?????1011011
,0x5b,custom-2,1,52,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01101000000000000001?????1011011
,0x5b,custom-2,1,53,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01101010000000000001?????1011011
,0x5b,custom-2,1,54,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01101100000000000001?????1011011
,0x5b,custom-2,1,55,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01101110000000000001?????1011011
,0x5b,custom-2,1,56,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01110000000000000001?????1011011
,0x5b,custom-2,1,57,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01110010000000000001?????1011011
,0x5b,custom-2,1,58,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01110100000000000001?????1011011
,0x5b,custom-2,1,59,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01110110000000000001?????1011011
,0x5b,custom-2,1,60,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01111000000000000001?????1011011
,0x5b,custom-2,1,61,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01111010000000000001?????1011011
,0x5b,custom-2,1,62,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01111100000000000001?????1011011
,0x5b,custom-2,1,63,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01111110000000000001?????1011011
,0x5b,custom-2,1,64,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10000000000000000001?????1011011
,0x5b,custom-2,1,65,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,10000010000000000001?????1011011
,0x5b,custom-2,1,66,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10000100000000000001?????1011011
,0x5b,custom-2,1,67,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10000110000000000001?????1011011
,0x5b,custom-2,1,68,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10001000000000000001?????1011011
,0x5b,custom-2,1,69,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,10001010000000000001?????1011011
,0x5b,custom-2,1,70,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10001100000000000001?????1011011
,0x5b,custom-2,1,71,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10001110000000000001?????1011011
,0x5b,custom-2,1,72,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,10010000000000000001?????1011011
,0x5b,custom-2,1,73,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,10010010000000000001?????1011011
